model,level,f1,precision,recall,n_sentences
GPT-4.1 (L),High Agreement (≥95%),0.10869565217391305,0.08823529411764706,0.14150943396226415,165
GPT-4.1 (L),Good Agreement (85-95%),0.1739130434782609,0.17777777777777778,0.1702127659574468,76
GPT-4.1 (L),Moderate Agreement (75-85%),0.06896551724137931,0.1,0.05263157894736842,8
GPT-4.1 (L),Low Agreement (<75%),0.0,0.0,0.0,0
GPT-5 (L),High Agreement (≥95%),0.1111111111111111,0.0958904109589041,0.1320754716981132,165
GPT-5 (L),Good Agreement (85-95%),0.1375,0.16666666666666666,0.11702127659574468,76
GPT-5 (L),Moderate Agreement (75-85%),0.13793103448275862,0.2,0.10526315789473684,8
GPT-5 (L),Low Agreement (<75%),0.0,0.0,0.0,0
GPT-OSS (L),High Agreement (≥95%),0.11152416356877323,0.09202453987730061,0.14150943396226415,165
GPT-OSS (L),Good Agreement (85-95%),0.1379310344827586,0.15,0.1276595744680851,76
GPT-OSS (L),Moderate Agreement (75-85%),0.15384615384615385,0.2857142857142857,0.10526315789473684,8
GPT-OSS (L),Low Agreement (<75%),0.0,0.0,0.0,0
Gemma (L),High Agreement (≥95%),0.10948905109489052,0.08928571428571429,0.14150943396226415,165
Gemma (L),Good Agreement (85-95%),0.1149425287356322,0.125,0.10638297872340426,76
Gemma (L),Moderate Agreement (75-85%),0.06896551724137931,0.1,0.05263157894736842,8
Gemma (L),Low Agreement (<75%),0.0,0.0,0.0,0
Llama (L),High Agreement (≥95%),0.11842105263157895,0.09090909090909091,0.16981132075471697,165
Llama (L),Good Agreement (85-95%),0.09836065573770492,0.10112359550561797,0.09574468085106383,76
Llama (L),Moderate Agreement (75-85%),0.14285714285714285,0.2222222222222222,0.10526315789473684,8
Llama (L),Low Agreement (<75%),0.0,0.0,0.0,0
Nemotron (L),High Agreement (≥95%),0.09774436090225562,0.08125,0.12264150943396226,165
Nemotron (L),Good Agreement (85-95%),0.12048192771084339,0.1388888888888889,0.10638297872340426,76
Nemotron (L),Moderate Agreement (75-85%),0.06896551724137931,0.1,0.05263157894736842,8
Nemotron (L),Low Agreement (<75%),0.0,0.0,0.0,0
GPT-4.1 (S),High Agreement (≥95%),0.0,0.0,0.0,165
GPT-4.1 (S),Good Agreement (85-95%),0.0,0.0,0.0,76
GPT-4.1 (S),Moderate Agreement (75-85%),0.0,0.0,0.0,8
GPT-4.1 (S),Low Agreement (<75%),0.0,0.0,0.0,0
GPT-5 (S),High Agreement (≥95%),0.0,0.0,0.0,165
GPT-5 (S),Good Agreement (85-95%),0.0,0.0,0.0,76
GPT-5 (S),Moderate Agreement (75-85%),0.0,0.0,0.0,8
GPT-5 (S),Low Agreement (<75%),0.0,0.0,0.0,0
GPT-OSS (S),High Agreement (≥95%),0.02158273381294964,0.01744186046511628,0.02830188679245283,165
GPT-OSS (S),Good Agreement (85-95%),0.07777777777777778,0.08139534883720931,0.07446808510638298,76
GPT-OSS (S),Moderate Agreement (75-85%),0.07692307692307693,0.14285714285714285,0.05263157894736842,8
GPT-OSS (S),Low Agreement (<75%),0.0,0.0,0.0,0
Gemma (S),High Agreement (≥95%),0.0,0.0,0.0,165
Gemma (S),Good Agreement (85-95%),0.032,0.06451612903225806,0.02127659574468085,76
Gemma (S),Moderate Agreement (75-85%),0.0,0.0,0.0,8
Gemma (S),Low Agreement (<75%),0.0,0.0,0.0,0
Llama (S),High Agreement (≥95%),0.013157894736842106,0.021739130434782608,0.009433962264150943,165
Llama (S),Good Agreement (85-95%),0.016666666666666666,0.038461538461538464,0.010638297872340425,76
Llama (S),Moderate Agreement (75-85%),0.0,0.0,0.0,8
Llama (S),Low Agreement (<75%),0.0,0.0,0.0,0
Nemotron (S),High Agreement (≥95%),0.0,0.0,0.0,165
Nemotron (S),Good Agreement (85-95%),0.0,0.0,0.0,76
Nemotron (S),Moderate Agreement (75-85%),0.0,0.0,0.0,8
Nemotron (S),Low Agreement (<75%),0.0,0.0,0.0,0
Manual,High Agreement (≥95%),0.09166666666666667,0.08208955223880597,0.10377358490566038,165
Manual,Good Agreement (85-95%),0.1558441558441558,0.2,0.1276595744680851,76
Manual,Moderate Agreement (75-85%),0.0,0.0,0.0,8
Manual,Low Agreement (<75%),0.0,0.0,0.0,0
Human,High Agreement (≥95%),0.8658536585365852,0.8964646464646465,0.8372641509433962,165
Human,Good Agreement (85-95%),0.7072847682119207,0.7044854881266491,0.7101063829787234,76
Human,Moderate Agreement (75-85%),0.6979865771812079,0.7123287671232876,0.6842105263157895,8
Human,Low Agreement (<75%),0.0,0.0,0.0,0
