n,id,date,text,lang,source
15587,www_ledevoir_com_monde_europe_816051_vers-france-ingouvernable_20240706_134329,2024-07-06,"Sur Europe 1, la doyenne des éditorialistes, Catherine Nay, évoquait même la convocation des états généraux par Louis XVI un peu avant sa chute.",FR,headlines
33592,441321HAN321-12775837,2024-05-30,"C'est la démonstration que je veux faire.La première chose que l'on voit dans la motion, c'est l'abolition de la taxe sur le carbone.",FR,parliament
30004,441286HAN286-12607981,2024-02-27,Le secrétaire parlementaire du leader du gouvernement à la Chambre a la parole.,FR,parliament
23871,441328HAN328-12811682,2024-06-10,"When the Canadian Security Intelligence Service was first created in 1984, the federal government was the primary target of our adversaries.",EN,parliament
29870,441272HAN272-12543729,2024-01-31,"If we look at those early months, when the government said that any limitations on what happens at the border would be unacceptable.",EN,parliament
8177,bc_ctvnews_ca_dam-in-chilcotin-river-will-be-overtaken-by-water-within-hours-b-c-officials-1_6989204_20240805_093349,2024-08-05,Officials say the best—and most likely—scenario is that it will take 12 to 24 hours for the water to move past the blockage.,EN,headlines
17877,www_journaldemontreal_com_2024_12_31_equipements-et-dechets-qui-trainent-illumi-laval-occupe-illegalement-un-terrain-depuis-trois-mois_20241128_052327,2024-11-28,L’analyste politique à Radio-Canada est également vice-président sénior du Groupe Cavalia.,FR,headlines
32672,441342HAN342-12876629,2024-09-24,C'est qu'on veut que ce premier ministre reste en place encore et encore.,FR,parliament
13544,www_tvanouvelles_ca_2024_12_31_cest-un-milieu-ou-il-y-a-de-la-violence-sinquiete-la-famille-dun-sans-abri-victime-dun-meurtre_20240929_004405,2024-09-29,"Il avait un œil au beurre noir, tu voyais qu’il avait mangé des coups.",FR,headlines
5085,www_cbc_ca_news_world_hunter-biden-legal-woes-1_7232135_20240612_064433,2024-06-12,Hunter Biden's lawyer said at a recent hearing that he was struggling to line up expert witnesses willing to testify in the high-profile case in Los Angeles.,EN,headlines
3085,www_ctvnews_ca_world_trudeau-biden-trump-other-world-leaders-remember-former-u-s-president-jimmy-carter-1_7159829_20241230_013329,2024-12-30,"“His presidency will be remembered for the historic Camp David Accords between Israel and Egypt, and it was that lifelong dedication to peace that saw him receive the Nobel Peace prize.”",EN,headlines
31465,441306HAN306-12708716,2024-05-01,"Monsieur le Président, il y a quelques années, la Colombie‑Britannique a présenté au gouvernement un projet pilote qu'elle voulait mettre en place pour envisager une façon différente de faire face à la crise de santé publique causée par l'épidémie liée aux opioïdes chez les Britanno‑Colombiens.",FR,parliament
893,www_ctvnews_ca_politics_foreign-affairs-minister-melanie-joly-will-not-seek-liberal-leadership-1_7171212_20250110_171329,2025-01-10,Foreign Minister Melanie Joly will not run for Liberal leadership.,EN,headlines
21941,441366HAN366-12975009,2024-11-05,"It is time for Canada to get serious about the reality facing our planet and our species, and have the courage to know that as one of the largest countries on earth, we face and will face the largest impact.",EN,parliament
1943,montrealgazette_com_news_politics_as-bill-69-hearings-open-caq-insists-hydro-projects-will-not-boost-rates-for-citizens_20240911_052351,2024-09-11,"On the other hand, a Chinese company, Tiandingfeng Canada (TDF), got the megawatts it wanted for a project in nearby Sorel-Tracy.",EN,headlines
10575,ici_radio-canada_ca_nouvelle_2128527_allemagne-vehicule-marche-noel_20241220_211327,2024-12-20,"Plusieurs attentats ou projets d'attentat à motivation islamiste, et impliquant des ressortissants étrangers, ont choqué le pays ces derniers mois.",FR,headlines
21333,441288HAN288-12616679,2024-02-29,[However] She has had no further information and unfortunately the employees are unaware of when the funding [will] be available.,EN,parliament
30030,441333HAN333-12830848,2024-06-17,"Il prétend ignorer l'incidence probable de cette hausse d'impôt sur les Canadiens de la classe moyenne, qui seront les seuls à la subir.",FR,parliament
1179,montrealgazette_com_news_explainer-what-happened-at-the-montreal-school-where-11-teachers-were-suspended_20241024_104353,2024-10-24,It states the local mosque carried a “strong influence” on several of the school’s staff members.,EN,headlines
39984,441320HAN320-12769674,2024-05-29,"Si elles ne le font pas, elles seront pénalisées.",FR,parliament
8154,www_theglobeandmail_com_world_us-politics_article-live-updates-polls-open-across-the-us-as-election-day-arrives__20241105_151331,2024-11-05,"JD Vance, R-Ohio arrives to vote at the St.",EN,headlines
35339,441306HAN306-12709060,2024-05-01,"Le peuple est pauvre, le gouvernement est riche.",FR,parliament
28779,441299HAN299-12678379,2024-04-15,"Speaker, today, Canadians who filed their taxes electronically on March 15 or before will receive the new Canada carbon rebate amounts.",EN,parliament
39666,441298HAN298-12671482,2024-04-11,Nous avons un plan pour créer plus d'emplois au pays.,FR,parliament
26906,441363HAN363-12966847,2024-10-31,"He said, “In the Constitution we propose to continue the system of Responsible Government, which has existed in this province since 1841, and which has long obtained in the Mother Country.",EN,parliament
30092,441310HAN310-12724422,2024-05-07,"Les conservateurs pleins de bon sens continueront à se battre, jour après jour, pour garantir que les industries pétrolières et énergétiques canadiennes de classe mondiale reçoivent le soutien dont elles ont besoin pour que ces travailleurs puissent garder la lumière allumée lorsqu'il fait froid dehors.",FR,parliament
33390,441281HAN281-12581212,2024-02-13,Ce sont des situations très difficiles avec lesquelles des Canadiens doivent composer tous les jours.,FR,parliament
8506,vancouversun_com_news_local-news_surrey-mayor-brenda-locke-fight-city-police-force-over_20240612_022403,2024-06-12,Locke said that beginning in September progress on the transition will be reported at each council meeting where councillors will have a chance to ask questions.,EN,headlines
7854,nationalpost_com_opinion_trudeau-hopes-to-reach-nato-target-with-a-sprinkling-of-pixie-dust-and-a-dash-of-good-luck_20240721_093350,2024-07-21,"In 2010, Canada agreed to buy 65 F-35s (with a total lifetime cost estimated to be US$29.3 billion by the parliamentary budget officer).",EN,headlines
16253,ici_radio-canada_ca_nouvelle_2080232_canada-classement-demandes-asile-monde-unhcr_20240613_114354,2024-06-13,"Sur les 3,6 millions de demandes d’asile qui ont été présentées dans le monde en 2023, le Canada en a reçu 146 800, indique le rapport Tendances mondiales du HCR, qui reprend des données statistiques officielles sur les réfugiés, les demandeurs d'asile, les personnes déplacées à l'intérieur de leur propre pays et les apatrides dans le monde.",FR,headlines
5074,www_cbc_ca_news_world_new-years-eve-world-celebrations-1_7420758_20241231_204425,2024-12-31,"In his address to the nation, Putin said that Russia has responded to the most difficult challenges and will be moving forward next year.",EN,headlines
33840,441320HAN320-12773702,2024-05-29,Je tiens toutefois à préciser que la Loi sur les mesures d'urgence n'est pas le mécanisme à utiliser pour résoudre la crise des surdoses.,FR,parliament
27345,441346HAN346-12895193,2024-10-01,James—Assiniboia—Headingley has the floor.,EN,parliament
14025,www_lapresse_ca_affaires_marche-immobilier_2024-07-04_tony-accurso-hante-toujours-terrebonne_php_20240704_144353,2024-07-04,"C’est lui qui lui a prêté tout près de 50 millions pour rembourser ses créanciers publics, à travers une fiducie anonyme, rapportait La Presse en octobre 2023.",FR,headlines
21851,441378HAN378-13027558,2024-11-28,She is going to be voting for a tax that benefits millionaires and billionaires.,EN,parliament
36767,441311HAN311-12732496,2024-05-08,"Qu'il s'agisse de la Russie, de la Chine, de l'Inde, de l'Iran ou de tout autre pays, nous voulons que toute tentative d'ingérence étrangère soit bloquée.",FR,parliament
3686,www_theglobeandmail_com_world_article-trudeau-still-not-saying-whether-liberals-were-among-mps-involved-in__20240615_144347,2024-06-15,We were able to create that over the objections of [Conservative Leader] Pierre Poilievre and the Conservative party.”,EN,headlines
30233,441371HAN371-12995889,2024-11-19,"Comme l'offre augmente sur le marché, nous devons trouver une solution.",FR,parliament
18772,www_tvanouvelles_ca_2024_12_25_dautres-dirigeants-de-port-de-montreal-se-sont-gates-en-voyage-et-au-resto_20240806_103353,2024-08-06,"Le voyage des deux VP de cinq jours, dont trois à la COP, a coûté 24 000$.",FR,headlines
12335,www_lapresse_ca_actualites_politique_2024-11-30_visite-a-mar-a-lago_trudeau-affirme-avoir-eu-une-excellente-conversation-avec-trump_php_20241201_012334,2024-12-01,"Dans une publication sur Truth Social, M.",FR,headlines
6213,www_thestar_com_politics_provincial_doug-ford-bristles-at-alberta-premiers-donald-trump-comments-shes-not-speaking-for-the-country_article_8d8cc82c-d1bf-11ef-aa55-4b60b8d55b80_html_20250114_095405,2025-01-14,"“Let’s stop wasting time talking about a merger that is never going to happen and instead focus on our efforts on restoring the pride of ‘made in Canada’ and ‘made in the USA,’” said the premier, who will meet Tuesday in Toronto with federal Finance Minister Dominic LeBlanc to discuss the tariffs.",EN,headlines
11290,ici_radio-canada_ca_nouvelle_2116183_harris-discours-final-election_20241030_064355,2024-10-30,"Sa rivale compte sur le tollé pour grappiller quelques voix précieuses, dans un scrutin au suffrage indirect qui pourrait se jouer d'un cheveu dans l'un des swing states : Pennsylvanie, Michigan, Wisconsin, Géorgie, Caroline du Nord, Arizona et Nevada.",FR,headlines
6304,www_cbc_ca_news_canada_toronto_ontario-femicide-young-victims-1_7302542_20240824_144359,2024-08-24,"Although she's glad the issue is getting attention, she says she struggles with people wondering what can be done each time new data is released.",EN,headlines
24375,441308HAN308-12718621,2024-05-03,"They are accusing Conservatives of doing things that this member himself has done on multiple occasions.That is nothing more than politicking because they are hiding a defund-the-police, anti-police agenda within the ranks of their party.",EN,parliament
29198,441388HAN388-13069443,2024-12-12,"On this side of the House, we believe in technology, but we need to challenge the industry.",EN,parliament
10370,www_journaldemontreal_com_2024_06_24_finale-panthers-oilers_20240625_074335,2024-06-25,»  « Je ne pense pas que ce sourire va quitter mon visage avant longtemps.,FR,headlines
