Pipeline,Category,Precision,Recall,F1,Support,TP,FP,FN
gemma_large,political_parties_BQ,0.2,0.2,0.20000000000000004,5,1,4,4
gemma_large,political_parties_CAQ,0.0,0.0,0.0,1,0,1,1
gemma_large,political_parties_CPC,0.18181818181818182,0.16666666666666666,0.17391304347826086,12,2,9,10
gemma_large,political_parties_GPC,0.0,0.0,0.0,1,0,0,1
gemma_large,political_parties_LPC,0.14814814814814814,0.19047619047619047,0.16666666666666666,21,4,23,17
gemma_large,political_parties_NDP,0.14285714285714285,0.14285714285714285,0.14285714285714285,7,1,6,6
gemma_large,political_parties_PCQ,0.0,0.0,0.0,0,0,0,0
gemma_large,political_parties_PLQ,0.0,0.0,0.0,1,0,1,1
gemma_large,political_parties_PQ,0.0,0.0,0.0,0,0,0,0
gemma_large,political_parties_QS,0.0,0.0,0.0,0,0,0,0
gemma_small,political_parties_BQ,0.0,0.0,0.0,5,0,0,5
gemma_small,political_parties_CAQ,0.0,0.0,0.0,1,0,0,1
gemma_small,political_parties_CPC,0.0,0.0,0.0,12,0,0,12
gemma_small,political_parties_GPC,0.0,0.0,0.0,1,0,0,1
gemma_small,political_parties_LPC,0.0,0.0,0.0,21,0,0,21
gemma_small,political_parties_NDP,0.0,0.0,0.0,7,0,0,7
gemma_small,political_parties_PCQ,0.0,0.0,0.0,0,0,0,0
gemma_small,political_parties_PLQ,0.0,0.0,0.0,1,0,0,1
gemma_small,political_parties_PQ,0.0,0.0,0.0,0,0,0,0
gemma_small,political_parties_QS,0.0,0.0,0.0,0,0,0,0
gpt_4_1_large,political_parties_BQ,0.2,0.2,0.20000000000000004,5,1,4,4
gpt_4_1_large,political_parties_CAQ,0.0,0.0,0.0,1,0,1,1
gpt_4_1_large,political_parties_CPC,0.18181818181818182,0.16666666666666666,0.17391304347826086,12,2,9,10
gpt_4_1_large,political_parties_GPC,0.0,0.0,0.0,1,0,2,1
gpt_4_1_large,political_parties_LPC,0.21052631578947367,0.19047619047619047,0.2,21,4,15,17
gpt_4_1_large,political_parties_NDP,0.14285714285714285,0.14285714285714285,0.14285714285714285,7,1,6,6
gpt_4_1_large,political_parties_PCQ,0.0,0.0,0.0,0,0,0,0
gpt_4_1_large,political_parties_PLQ,0.0,0.0,0.0,1,0,0,1
gpt_4_1_large,political_parties_PQ,0.0,0.0,0.0,0,0,0,0
gpt_4_1_large,political_parties_QS,0.0,0.0,0.0,0,0,0,0
gpt_4_1_small,political_parties_BQ,0.0,0.0,0.0,5,0,0,5
gpt_4_1_small,political_parties_CAQ,0.0,0.0,0.0,1,0,0,1
gpt_4_1_small,political_parties_CPC,0.0,0.0,0.0,12,0,0,12
gpt_4_1_small,political_parties_GPC,0.0,0.0,0.0,1,0,0,1
gpt_4_1_small,political_parties_LPC,0.0,0.0,0.0,21,0,0,21
gpt_4_1_small,political_parties_NDP,0.0,0.0,0.0,7,0,0,7
gpt_4_1_small,political_parties_PCQ,0.0,0.0,0.0,0,0,0,0
gpt_4_1_small,political_parties_PLQ,0.0,0.0,0.0,1,0,0,1
gpt_4_1_small,political_parties_PQ,0.0,0.0,0.0,0,0,0,0
gpt_4_1_small,political_parties_QS,0.0,0.0,0.0,0,0,0,0
gpt_5_large,political_parties_BQ,0.2,0.2,0.20000000000000004,5,1,4,4
gpt_5_large,political_parties_CAQ,0.0,0.0,0.0,1,0,0,1
gpt_5_large,political_parties_CPC,0.16666666666666666,0.16666666666666666,0.16666666666666666,12,2,10,10
gpt_5_large,political_parties_GPC,0.0,0.0,0.0,1,0,0,1
gpt_5_large,political_parties_LPC,0.18181818181818182,0.19047619047619047,0.18604651162790697,21,4,18,17
gpt_5_large,political_parties_NDP,0.14285714285714285,0.14285714285714285,0.14285714285714285,7,1,6,6
gpt_5_large,political_parties_PCQ,0.0,0.0,0.0,0,0,0,0
gpt_5_large,political_parties_PLQ,0.0,0.0,0.0,1,0,0,1
gpt_5_large,political_parties_PQ,0.0,0.0,0.0,0,0,0,0
gpt_5_large,political_parties_QS,0.0,0.0,0.0,0,0,0,0
gpt_5_small,political_parties_BQ,0.0,0.0,0.0,5,0,0,5
gpt_5_small,political_parties_CAQ,0.0,0.0,0.0,1,0,0,1
gpt_5_small,political_parties_CPC,0.0,0.0,0.0,12,0,0,12
gpt_5_small,political_parties_GPC,0.0,0.0,0.0,1,0,0,1
gpt_5_small,political_parties_LPC,0.0,0.0,0.0,21,0,0,21
gpt_5_small,political_parties_NDP,0.0,0.0,0.0,7,0,0,7
gpt_5_small,political_parties_PCQ,0.0,0.0,0.0,0,0,0,0
gpt_5_small,political_parties_PLQ,0.0,0.0,0.0,1,0,0,1
gpt_5_small,political_parties_PQ,0.0,0.0,0.0,0,0,0,0
gpt_5_small,political_parties_QS,0.0,0.0,0.0,0,0,0,0
gpt_oss_large,political_parties_BQ,0.2,0.2,0.20000000000000004,5,1,4,4
gpt_oss_large,political_parties_CAQ,0.0,0.0,0.0,1,0,1,1
gpt_oss_large,political_parties_CPC,0.09090909090909091,0.08333333333333333,0.08695652173913043,12,1,10,11
gpt_oss_large,political_parties_GPC,0.0,0.0,0.0,1,0,1,1
gpt_oss_large,political_parties_LPC,0.21052631578947367,0.19047619047619047,0.2,21,4,15,17
gpt_oss_large,political_parties_NDP,0.14285714285714285,0.14285714285714285,0.14285714285714285,7,1,6,6
gpt_oss_large,political_parties_PCQ,0.0,0.0,0.0,0,0,0,0
gpt_oss_large,political_parties_PLQ,0.0,0.0,0.0,1,0,1,1
gpt_oss_large,political_parties_PQ,0.0,0.0,0.0,0,0,0,0
gpt_oss_large,political_parties_QS,0.0,0.0,0.0,0,0,1,0
gpt_oss_small,political_parties_BQ,0.0,0.0,0.0,5,0,0,5
gpt_oss_small,political_parties_CAQ,0.0,0.0,0.0,1,0,0,1
gpt_oss_small,political_parties_CPC,0.0,0.0,0.0,12,0,0,12
gpt_oss_small,political_parties_GPC,0.0,0.0,0.0,1,0,0,1
gpt_oss_small,political_parties_LPC,0.0,0.0,0.0,21,0,0,21
gpt_oss_small,political_parties_NDP,0.0,0.0,0.0,7,0,0,7
gpt_oss_small,political_parties_PCQ,0.0,0.0,0.0,0,0,0,0
gpt_oss_small,political_parties_PLQ,0.0,0.0,0.0,1,0,0,1
gpt_oss_small,political_parties_PQ,0.0,0.0,0.0,0,0,0,0
gpt_oss_small,political_parties_QS,0.0,0.0,0.0,0,0,0,0
llama_large,political_parties_BQ,0.2,0.2,0.20000000000000004,5,1,4,4
llama_large,political_parties_CAQ,0.0,0.0,0.0,1,0,1,1
llama_large,political_parties_CPC,0.18181818181818182,0.16666666666666666,0.17391304347826086,12,2,9,10
llama_large,political_parties_GPC,0.0,0.0,0.0,1,0,2,1
llama_large,political_parties_LPC,0.18181818181818182,0.19047619047619047,0.18604651162790697,21,4,18,17
llama_large,political_parties_NDP,0.125,0.14285714285714285,0.13333333333333333,7,1,7,6
llama_large,political_parties_PCQ,0.0,0.0,0.0,0,0,0,0
llama_large,political_parties_PLQ,0.0,0.0,0.0,1,0,0,1
llama_large,political_parties_PQ,0.0,0.0,0.0,0,0,0,0
llama_large,political_parties_QS,0.0,0.0,0.0,0,0,0,0
llama_small,political_parties_BQ,0.0,0.0,0.0,5,0,0,5
llama_small,political_parties_CAQ,0.0,0.0,0.0,1,0,0,1
llama_small,political_parties_CPC,0.0,0.0,0.0,12,0,0,12
llama_small,political_parties_GPC,0.0,0.0,0.0,1,0,0,1
llama_small,political_parties_LPC,0.0,0.0,0.0,21,0,0,21
llama_small,political_parties_NDP,0.0,0.0,0.0,7,0,0,7
llama_small,political_parties_PCQ,0.0,0.0,0.0,0,0,0,0
llama_small,political_parties_PLQ,0.0,0.0,0.0,1,0,0,1
llama_small,political_parties_PQ,0.0,0.0,0.0,0,0,0,0
llama_small,political_parties_QS,0.0,0.0,0.0,0,0,0,0
manual_manual,political_parties_BQ,0.0,0.0,0.0,5,0,0,5
manual_manual,political_parties_CAQ,0.0,0.0,0.0,1,0,0,1
manual_manual,political_parties_CPC,0.0,0.0,0.0,12,0,0,12
manual_manual,political_parties_GPC,0.0,0.0,0.0,1,0,0,1
manual_manual,political_parties_LPC,0.0,0.0,0.0,21,0,0,21
manual_manual,political_parties_NDP,0.0,0.0,0.0,7,0,0,7
manual_manual,political_parties_PCQ,0.0,0.0,0.0,0,0,0,0
manual_manual,political_parties_PLQ,0.0,0.0,0.0,1,0,0,1
manual_manual,political_parties_PQ,0.0,0.0,0.0,0,0,0,0
manual_manual,political_parties_QS,0.0,0.0,0.0,0,0,0,0
nemotron_large,political_parties_BQ,0.2,0.2,0.20000000000000004,5,1,4,4
nemotron_large,political_parties_CAQ,0.0,0.0,0.0,1,0,1,1
nemotron_large,political_parties_CPC,0.18181818181818182,0.16666666666666666,0.17391304347826086,12,2,9,10
nemotron_large,political_parties_GPC,0.0,0.0,0.0,1,0,2,1
nemotron_large,political_parties_LPC,0.15384615384615385,0.19047619047619047,0.1702127659574468,21,4,22,17
nemotron_large,political_parties_NDP,0.2857142857142857,0.2857142857142857,0.2857142857142857,7,2,5,5
nemotron_large,political_parties_PCQ,0.0,0.0,0.0,0,0,0,0
nemotron_large,political_parties_PLQ,0.0,0.0,0.0,1,0,2,1
nemotron_large,political_parties_PQ,0.0,0.0,0.0,0,0,0,0
nemotron_large,political_parties_QS,0.0,0.0,0.0,0,0,0,0
nemotron_small,political_parties_BQ,0.0,0.0,0.0,5,0,0,5
nemotron_small,political_parties_CAQ,0.0,0.0,0.0,1,0,0,1
nemotron_small,political_parties_CPC,0.0,0.0,0.0,12,0,0,12
nemotron_small,political_parties_GPC,0.0,0.0,0.0,1,0,0,1
nemotron_small,political_parties_LPC,0.0,0.0,0.0,21,0,0,21
nemotron_small,political_parties_NDP,0.0,0.0,0.0,7,0,0,7
nemotron_small,political_parties_PCQ,0.0,0.0,0.0,0,0,10,0
nemotron_small,political_parties_PLQ,0.0,0.0,0.0,1,0,0,1
nemotron_small,political_parties_PQ,0.0,0.0,0.0,0,0,0,0
nemotron_small,political_parties_QS,0.0,0.0,0.0,0,0,0,0
