base_model,variant,model_key,tp,fp,fn,precision,recall,f1,pct_human
GPT-4-1,Large,gpt_4_1_large,32,238,187,0.11851851851851852,0.1461187214611872,0.130879345603272,16.738575060833895
GPT-4-1,Small,gpt_4_1_small,0,8,219,0.0,0.0,0.0,0.0
GPT-5,Large,gpt_5_large,27,195,192,0.12162162162162163,0.1232876712328767,0.12244897959183675,15.660388784593957
GPT-5,Small,gpt_5_small,0,15,219,0.0,0.0,0.0,0.0
GPT-OSS,Large,gpt_oss_large,29,221,190,0.116,0.1324200913242009,0.12366737739872069,15.816213548619768
GPT-OSS,Small,gpt_oss_small,11,254,208,0.04150943396226415,0.0502283105022831,0.045454545454545456,5.8133261397356355
GEMMA,Large,gemma_large,26,232,193,0.10077519379844961,0.1187214611872146,0.10901467505241089,13.942232922133261
GEMMA,Small,gemma_small,2,96,217,0.02040816326530612,0.0091324200913242,0.012618296529968454,1.6137940072452235
LLAMA,Large,llama_large,29,267,190,0.09797297297297297,0.1324200913242009,0.11262135922330097,14.403503212238194
LLAMA,Small,llama_small,2,74,217,0.02631578947368421,0.0091324200913242,0.013559322033898305,1.7341447467685962
NEMOTRON,Large,nemotron_large,24,218,195,0.09917355371900827,0.1095890410958904,0.10412147505422993,13.316426038092906
NEMOTRON,Small,nemotron_small,0,13,219,0.0,0.0,0.0,0.0
MANUAL,N/A,manual_manual,23,175,196,0.11616161616161616,0.1050228310502283,0.11031175059952038,14.108120032164178
