id,agreement_rate,n_full_agreement,n_themes,agreement_level
441317HAN317-12759592,0.9545454545454546,21,22,High Agreement (≥95%)
ici_radio-canada_ca_nouvelle_2124748_macron-allocution-francais-premier-ministre_20241205_195328,0.9545454545454546,21,22,High Agreement (≥95%)
www_lapresse_ca_actualites_2024-06-07_rumeurs-d-inconduite-sexuelle_trois-etudiantes-suspendues-pour-mobbing_php_20240607_055405,0.9090909090909091,20,22,Good Agreement (85-95%)
441344HAN344-12886857,0.9545454545454546,21,22,High Agreement (≥95%)
www_ledevoir_com_societe_817413_quand-langues-transphobes-delient_20240801_040325,0.9545454545454546,21,22,High Agreement (≥95%)
www_ledevoir_com_monde_moyen-orient_821932_quand-quitter-gaza-canada-est-mission-presque-impossible_20241018_093353,1.0,22,22,High Agreement (≥95%)
www_tvanouvelles_ca_2025_01_25_succession-a-justin-trudeau-mark-carney-mene-la-partie-3-a-1-selon-un-expert_20250126_081348,0.9545454545454546,21,22,High Agreement (≥95%)
441316HAN316-12754672,0.8636363636363636,19,22,Good Agreement (85-95%)
441306HAN306-12709060,0.9090909090909091,20,22,Good Agreement (85-95%)
441315HAN315-12749191,0.8636363636363636,19,22,Good Agreement (85-95%)
www_tvanouvelles_ca_2024_12_31_cest-un-milieu-ou-il-y-a-de-la-violence-sinquiete-la-famille-dun-sans-abri-victime-dun-meurtre_20240929_004405,0.9090909090909091,20,22,Good Agreement (85-95%)
441364HAN364-12969408,0.9090909090909091,20,22,Good Agreement (85-95%)
441328HAN328-12809684,1.0,22,22,High Agreement (≥95%)
www_lapresse_ca_actualites_politique_2024-12-16_justin-trudeau-n-a-pas-l-intention-de-partir-dominic-leblanc-herite-des-finances_php_20241217_003350,0.9545454545454546,21,22,High Agreement (≥95%)
ici_radio-canada_ca_nouvelle_2123524_justin-trudeau-donald-trump-floride_20241130_014327,1.0,22,22,High Agreement (≥95%)
441281HAN281-12581212,1.0,22,22,High Agreement (≥95%)
www_lapresse_ca_actualites_chroniques_2025-01-27_mort-tragique-d-un-garcon-de-5-ans_un-argument-scandaleux_php_20250127_153333,0.9090909090909091,20,22,Good Agreement (85-95%)
