id,date,text,lang,source,annotations
441270HAN270-12529803,2024-01-29,He is looking at it himself.He said that the best way we could help farmers was to actually cut that carbon tax.,EN,parliament,"{""manual_themes"": [""theme_agriculture"", ""theme_environment"", ""theme_macroeconomics""], ""manual_sentiment"": ""sentiment_neutral"", ""manual_specific_themes"": []}"
441270HAN270-12530693,2024-01-29,"Il doit se concentrer sur ce que le marché ne fait pas et ne fera pas, c'est‑à‑dire construire des logements sociaux.Dire que nous voulons que le gouvernement se concentre en particulier sur les logements sociaux ne revient pas à minimiser le rôle du marché et des logements du marché; nous disons simplement que l'attention du gouvernement et ses politiques publiques ne devraient pas se concentrer sur le domaine privé.",FR,parliament,"{""manual_themes"": [""theme_housing""], ""manual_sentiment"": ""sentiment_neutral"", ""manual_specific_themes"": []}"
441270HAN270-12531107,2024-01-29,Les conversations intéressantes et les conseils judicieux y étaient toujours à l'honneur.,FR,parliament,"{""manual_themes"": [], ""manual_sentiment"": ""sentiment_positive"", ""manual_specific_themes"": []}"
441270HAN270-12531783,2024-01-29,Cela n'est pas en ordre.,FR,parliament,"{""manual_themes"": [], ""manual_sentiment"": ""sentiment_negative"", ""manual_specific_themes"": []}"
441270HAN270-12532034,2024-01-29,The reason we are going to be sitting later tonight is that we have the 12th report of the Standing Committee on Finance that we have to deal with.,EN,parliament,"{""manual_themes"": [""theme_macroeconomics""], ""manual_sentiment"": ""sentiment_neutral"", ""manual_specific_themes"": []}"
441270HAN270-12534263,2024-01-29,"When New Democrats campaign in Alberta, they rarely admit how close they are to the current Prime Minister or how complicit they are in covering up corruption with their Liberal partners.",EN,parliament,"{""manual_themes"": [""theme_governments_governance""], ""manual_sentiment"": ""sentiment_negative"", ""manual_specific_themes"": []}"
441271HAN271-12538009,2024-01-30,I think I can use his name.,EN,parliament,"{""manual_themes"": [], ""manual_sentiment"": ""sentiment_neutral"", ""manual_specific_themes"": []}"
441271HAN271-12538706,2024-01-30,Do my colleagues know how many were built last year?,EN,parliament,"{""manual_themes"": [], ""manual_sentiment"": ""sentiment_neutral"", ""manual_specific_themes"": []}"
441271HAN271-12538742,2024-01-30,"He went to Longueuil, Montreal and Quebec City to insult the mayors and demonstrate his total lack of knowledge of how the system works.",EN,parliament,"{""manual_themes"": [""theme_governments_governance""], ""manual_sentiment"": ""sentiment_negative"", ""manual_specific_themes"": []}"
441271HAN271-12539550,2024-01-30,"If targets are missed, a percentage of their federal funding would be withheld, and it would be equivalent to the percentage the target was missed by.",EN,parliament,"{""manual_themes"": [], ""manual_sentiment"": ""sentiment_neutral"", ""manual_specific_themes"": []}"
441271HAN271-12540431,2024-01-30,Pilot project 22 will provide four additional weeks of EI benefits for the regions of this country that have the most seasonal workers.,EN,parliament,"{""manual_themes"": [""theme_labor""], ""manual_sentiment"": ""sentiment_neutral"", ""manual_specific_themes"": []}"
441272HAN272-12543729,2024-01-31,"If we look at those early months, when the government said that any limitations on what happens at the border would be unacceptable.",EN,parliament,"{""manual_themes"": [""theme_governments_governance"", ""theme_immigration"", ""theme_law_and_crime""], ""manual_sentiment"": ""sentiment_negative"", ""manual_specific_themes"": []}"
441273HAN273-12545101,2024-02-01,Les maires compétents évitent de faire de l'obstruction afin d'accélérer la construction.Les conservateurs croient qu'on devrait récompenser les maires et les conseils municipaux qui ne mettent pas de bâtons dans les roues et qui laissent les constructeurs construire.,FR,parliament,"{""manual_themes"": [""theme_governments_governance"", ""theme_housing""], ""manual_sentiment"": ""sentiment_negative"", ""manual_specific_themes"": []}"
441273HAN273-12545116,2024-02-01,"Cette facture est le résultat de la taxe sur le carbone et elle correspond à ce qu'a coûté l'année dernière le séchage du grain d'une exploitation agricole de Chesterville, en Ontario.",FR,parliament,"{""manual_themes"": [""theme_agriculture"", ""theme_environment"", ""theme_macroeconomics""], ""manual_sentiment"": ""sentiment_neutral"", ""manual_specific_themes"": []}"
441273HAN273-12545252,2024-02-01,"Je sais qu’il n’aime pas en parler, mais il va falloir qu’il prenne son courage à deux mains.",FR,parliament,"{""manual_themes"": [], ""manual_sentiment"": ""sentiment_negative"", ""manual_specific_themes"": []}"
441273HAN273-12545385,2024-02-01,"Monsieur le Président, j'aurais aimé que l'année commence un peu à votre image, c'est-à-dire avec une nouvelle apparence et de nouvelles priorités, et que les conservateurs fassent la même chose et qu'ils nous laissent passer à autre chose que la taxe sur le carbone.",FR,parliament,"{""manual_themes"": [""theme_environment"", ""theme_macroeconomics""], ""manual_sentiment"": ""sentiment_negative"", ""manual_specific_themes"": []}"
441273HAN273-12545660,2024-02-01,"Pendant que le peuple épuisé et à la situation financière exsangue doit payer le gros prix, une élite déconnectée du peuple en profite et a tout le loisir de mener une belle vie douillette.",FR,parliament,"{""manual_themes"": [""theme_social_welfare""], ""manual_sentiment"": ""sentiment_negative"", ""manual_specific_themes"": [""specific_themes_welfare_state""]}"
441273HAN273-12545857,2024-02-01,Pourquoi pense-t-il que les libéraux et les conservateurs refusent d'obliger ces PDG à payer leur part et à contribuer à remettre de l'argent dans les poches des gens?,FR,parliament,"{""manual_themes"": [""theme_macroeconomics""], ""manual_sentiment"": ""sentiment_negative"", ""manual_specific_themes"": [""specific_themes_public_finance""]}"
441273HAN273-12545986,2024-02-01,"En matière de logement, les libéraux refusent de verser l'argent à Québec.",FR,parliament,"{""manual_themes"": [""theme_governments_governance"", ""theme_housing""], ""manual_sentiment"": ""sentiment_negative"", ""manual_specific_themes"": []}"
441273HAN273-12546463,2024-02-01,"Il y a huit ans, Jen a lancé son entreprise: Emily Mae's Cookies & Sweets.",FR,parliament,"{""manual_themes"": [], ""manual_sentiment"": ""sentiment_neutral"", ""manual_specific_themes"": []}"
441273HAN273-12546829,2024-02-01,Les victimes se multiplient en ce moment.Que viendront dire les conservateurs aux gens de Baie‑Saint‑Paul qui attendent encore de savoir s'ils vont récupérer ou non leur maison à cause des inondations de cet été?,FR,parliament,"{""manual_themes"": [""theme_domestic_commerce"", ""theme_housing""], ""manual_sentiment"": ""sentiment_negative"", ""manual_specific_themes"": []}"
441273HAN273-12546841,2024-02-01,"Cette année, elle génère 500 millions de dollars, mais ce montant grimpera à 1 milliard de dollars en 2030 et représentera une ponction fiscale totale de 6,23 milliards de dollars au cours des huit prochaines années.L'échec du gouvernement néo-démocrate—libéral pour ce qui est de promouvoir le gaz naturel liquéfié canadien auprès de l'Union européenne est inquiétant.",FR,parliament,"{""manual_themes"": [""theme_energy"", ""theme_foreign_trade"", ""theme_macroeconomics""], ""manual_sentiment"": ""sentiment_negative"", ""manual_specific_themes"": []}"
441273HAN273-12547075,2024-02-01,"Monsieur le Président, contrairement aux conservateurs, nous sommes là pour soutenir le secteur agricole dans la transition énergétique afin de l'aider à produire les produits dont les Canadiens et les Canadiennes ont besoin et à réduire ses émissions de gaz à effet de serre.Dans la circonscription de notre collègue de Louis-Saint-Laurent, plus de 5 millions de dollars ont été versés aux agriculteurs pour les aider à réduire leurs émissions de gaz à effet de serre.",FR,parliament,"{""manual_themes"": [""theme_agriculture"", ""theme_energy"", ""theme_environment"", ""theme_macroeconomics""], ""manual_sentiment"": ""sentiment_positive"", ""manual_specific_themes"": []}"
441273HAN273-12547553,2024-02-01,"Plus la coalition socialiste néo‑démocrate—libérale, usée et chancelante, fera abstraction de la volonté des Canadiens, plus elle en paiera le prix.Augmenter la taxe alors que tout le monde sait que ses jours sont comptés, c'est remuer le couteau dans la plaie d'une inflation élevée.",FR,parliament,"{""manual_themes"": [""theme_macroeconomics""], ""manual_sentiment"": ""sentiment_negative"", ""manual_specific_themes"": []}"
441273HAN273-12547966,2024-02-01,Elle réduit intentionnellement le chauffage de son appartement.,FR,parliament,"{""manual_themes"": [""theme_energy""], ""manual_sentiment"": ""sentiment_neutral"", ""manual_specific_themes"": []}"
441273HAN273-12549664,2024-02-01,"However, when my other grandparents, Joseph and Doris Soroka, came in 1929, there were actually two pages.",EN,parliament,"{""manual_themes"": [], ""manual_sentiment"": ""sentiment_neutral"", ""manual_specific_themes"": []}"
441274HAN274-12551088,2024-02-02,"These are not signs of a healthy, dynamic and competitive marketplace.",EN,parliament,"{""manual_themes"": [""theme_domestic_commerce"", ""theme_foreign_trade"", ""theme_macroeconomics""], ""manual_sentiment"": ""sentiment_negative"", ""manual_specific_themes"": []}"
441275HAN275-12553054,2024-02-05,One of the other concerns about Bill C-61 that must be addressed at committee is the government's approach to consultation on the bill.,EN,parliament,"{""manual_themes"": [""theme_governments_governance""], ""manual_sentiment"": ""sentiment_neutral"", ""manual_specific_themes"": []}"
441275HAN275-12553338,2024-02-05,"The participants will cover a total of 3,250 kilometres by snowmobile on their way to Wendake, passing through Mashteuiatsh, Rouyn‑Noranda, where they stopped the day before yesterday, Maniwaki, Saint‑Michel‑des‑Saints, and many other places.I went to Témiscaming yesterday to meet up with them.",EN,parliament,"{""manual_themes"": [], ""manual_sentiment"": ""sentiment_neutral"", ""manual_specific_themes"": []}"
441275HAN275-12553775,2024-02-05,"J'ai présenté aujourd'hui un plan plein de bon sens pour mettre fin à la détention à domicile et à la politique de capture et de remise en liberté dont profitent les criminels de carrière, ainsi que pour imposer trois ans de prison après trois voitures volées.Le gouvernement acceptera-t-il ce plan plein de gros bon sens?",FR,parliament,"{""manual_themes"": [""theme_law_and_crime""], ""manual_sentiment"": ""sentiment_neutral"", ""manual_specific_themes"": []}"
441275HAN275-12553941,2024-02-05,"Speaker, this year's theme for Black History Month is “Black Excellence: A Heritage to Celebrate; a Future to Build”.",EN,parliament,"{""manual_themes"": [""theme_rights_liberties_minorities_discrimination""], ""manual_sentiment"": ""sentiment_neutral"", ""manual_specific_themes"": []}"
441275HAN275-12554088,2024-02-05,"Je demande aux conservateurs de se joindre à tous les députés de la Chambre, de voter en faveur de l'Ukraine et de voter pour l'Accord de libre-échange entre le Canada et l'Ukraine.",FR,parliament,"{""manual_themes"": [""theme_foreign_trade"", ""theme_international_affairs""], ""manual_sentiment"": ""sentiment_neutral"", ""manual_specific_themes"": []}"
441275HAN275-12555136,2024-02-05,"The vote passed 205-109, with the NDP, the Bloc, the Green Party and the independents all voting in favour with the Liberals.",EN,parliament,"{""manual_themes"": [""theme_governments_governance""], ""manual_sentiment"": ""sentiment_neutral"", ""manual_specific_themes"": []}"
441276HAN276-12558207,2024-02-06,"The teams that worked with the United States, in terms of being proactive, were reduced by Conservatives.",EN,parliament,"{""manual_themes"": [""theme_international_affairs""], ""manual_sentiment"": ""sentiment_negative"", ""manual_specific_themes"": []}"
441276HAN276-12558374,2024-02-06,Our Conservative plan would make prison time mandatory for repeat car thieves.,EN,parliament,"{""manual_themes"": [""theme_law_and_crime""], ""manual_sentiment"": ""sentiment_neutral"", ""manual_specific_themes"": []}"
441276HAN276-12559214,2024-02-06,"They are launching vehicles with poorer technology for stopping auto theft.As for the member's experience, I am sorry to hear of that.",EN,parliament,"{""manual_themes"": [""theme_law_and_crime"", ""theme_transportation""], ""manual_sentiment"": ""sentiment_negative"", ""manual_specific_themes"": []}"
441276HAN276-12559435,2024-02-06,Are they going to end catch-and-release policies that turn repeat violent offenders back onto our streets?,EN,parliament,"{""manual_themes"": [""theme_law_and_crime""], ""manual_sentiment"": ""sentiment_negative"", ""manual_specific_themes"": []}"
441276HAN276-12560923,2024-02-06,I like that.The Liberals are organizing a summit on auto theft.,EN,parliament,"{""manual_themes"": [""theme_law_and_crime""], ""manual_sentiment"": ""sentiment_positive"", ""manual_specific_themes"": []}"
441276HAN276-12561548,2024-02-06,Everyone knows that they are preventative measures.,EN,parliament,"{""manual_themes"": [], ""manual_sentiment"": ""sentiment_neutral"", ""manual_specific_themes"": []}"
441276HAN276-12562665,2024-02-06,"While investigations are ongoing, it is committed to acting on findings from all audits and reviews to inform the future of contractual arrangements.",EN,parliament,"{""manual_themes"": [], ""manual_sentiment"": ""sentiment_neutral"", ""manual_specific_themes"": []}"
441277HAN277-12563948,2024-02-07,"Comme il est 15 h 21, la Chambre procédera maintenant au vote par appel nominal différé sur la motion d'adoption du 15e rapport du Comité permanent des finances concernant la prolongation du délai pour étudier le projet de loi C‑323, Loi modifiant la Loi sur la taxe d’accise (services de santé mentale).",FR,parliament,"{""manual_themes"": [""theme_health""], ""manual_sentiment"": ""sentiment_neutral"", ""manual_specific_themes"": []}"
441277HAN277-12564522,2024-02-07,"Madam Speaker, the arrogance of the government knows no bounds.",EN,parliament,"{""manual_themes"": [], ""manual_sentiment"": ""sentiment_negative"", ""manual_specific_themes"": []}"
441277HAN277-12564619,2024-02-07,"That is exactly why there are bilateral agreements that are tied to our four key principles, which include mental health.",EN,parliament,"{""manual_themes"": [""theme_health"", ""theme_governments_governance""], ""manual_sentiment"": ""sentiment_neutral"", ""manual_specific_themes"": []}"
441277HAN277-12565927,2024-02-07,"This is a group including the family members of Angie Sweeney, who is a victim of a murder-suicide that took place in the fall in Sault Ste.",EN,parliament,"{""manual_themes"": [""theme_law_and_crime""], ""manual_sentiment"": ""sentiment_negative"", ""manual_specific_themes"": []}"
