Pipeline,Category,Precision,Recall,F1,Support,TP,FP,FN
gemma_large,theme_agriculture,0.0,0.0,0.0,2,0,0,2
gemma_large,theme_culture_nationalism,0.0,0.0,0.0,3,0,4,3
gemma_large,theme_defense,0.0,0.0,0.0,3,0,2,3
gemma_large,theme_domestic_commerce,0.0,0.0,0.0,7,0,8,7
gemma_large,theme_education,0.0,0.0,0.0,3,0,5,3
gemma_large,theme_energy,0.0,0.0,0.0,7,0,3,7
gemma_large,theme_environment,0.06666666666666667,0.08333333333333333,0.07407407407407407,12,1,14,11
gemma_large,theme_foreign_trade,0.0,0.0,0.0,6,0,7,6
gemma_large,theme_governments_governance,0.12903225806451613,0.2,0.1568627450980392,40,8,54,32
gemma_large,theme_health,0.07692307692307693,0.06666666666666667,0.07142857142857144,15,1,12,14
gemma_large,theme_housing,0.14285714285714285,0.15384615384615385,0.14814814814814817,13,2,12,11
gemma_large,theme_immigration,0.3333333333333333,0.3333333333333333,0.3333333333333333,3,1,2,2
gemma_large,theme_indigenous_affairs,0.0,0.0,0.0,0,0,0,0
gemma_large,theme_international_affairs,0.07692307692307693,0.04,0.052631578947368425,25,1,12,24
gemma_large,theme_labor,0.0,0.0,0.0,7,0,9,7
gemma_large,theme_law_and_crime,0.05263157894736842,0.06666666666666667,0.058823529411764705,15,1,18,14
gemma_large,theme_macroeconomics,0.17307692307692307,0.32142857142857145,0.225,28,9,43,19
gemma_large,theme_public_lands,0.0,0.0,0.0,1,0,3,1
gemma_large,theme_rights_liberties_minorities_discrimination,0.16666666666666666,0.1,0.125,10,1,5,9
gemma_large,theme_social_welfare,0.07692307692307693,0.1,0.08695652173913043,10,1,12,9
gemma_large,theme_technology,0.0,0.0,0.0,3,0,3,3
gemma_large,theme_transportation,0.0,0.0,0.0,6,0,5,6
gemma_small,theme_agriculture,0.0,0.0,0.0,2,0,0,2
gemma_small,theme_culture_nationalism,0.031746031746031744,0.6666666666666666,0.06060606060606061,3,2,61,1
gemma_small,theme_defense,0.0,0.0,0.0,3,0,0,3
gemma_small,theme_domestic_commerce,0.0,0.0,0.0,7,0,4,7
gemma_small,theme_education,0.0,0.0,0.0,3,0,0,3
gemma_small,theme_energy,0.0,0.0,0.0,7,0,3,7
gemma_small,theme_environment,0.0,0.0,0.0,12,0,0,12
gemma_small,theme_foreign_trade,0.0,0.0,0.0,6,0,0,6
gemma_small,theme_governments_governance,0.0,0.0,0.0,40,0,0,40
gemma_small,theme_health,0.0,0.0,0.0,15,0,0,15
gemma_small,theme_housing,0.0,0.0,0.0,13,0,0,13
gemma_small,theme_immigration,0.0,0.0,0.0,3,0,1,3
gemma_small,theme_indigenous_affairs,0.0,0.0,0.0,0,0,0,0
gemma_small,theme_international_affairs,0.0,0.0,0.0,25,0,0,25
gemma_small,theme_labor,0.0,0.0,0.0,7,0,0,7
gemma_small,theme_law_and_crime,0.0,0.0,0.0,15,0,1,15
gemma_small,theme_macroeconomics,0.0,0.0,0.0,28,0,0,28
gemma_small,theme_public_lands,0.0,0.0,0.0,1,0,0,1
gemma_small,theme_rights_liberties_minorities_discrimination,0.0,0.0,0.0,10,0,0,10
gemma_small,theme_social_welfare,0.0,0.0,0.0,10,0,25,10
gemma_small,theme_technology,0.0,0.0,0.0,3,0,0,3
gemma_small,theme_transportation,0.0,0.0,0.0,6,0,1,6
gpt_4_1_large,theme_agriculture,0.0,0.0,0.0,2,0,1,2
gpt_4_1_large,theme_culture_nationalism,0.5,0.3333333333333333,0.4,3,1,1,2
gpt_4_1_large,theme_defense,0.0,0.0,0.0,3,0,4,3
gpt_4_1_large,theme_domestic_commerce,0.0,0.0,0.0,7,0,13,7
gpt_4_1_large,theme_education,0.0,0.0,0.0,3,0,7,3
gpt_4_1_large,theme_energy,0.3333333333333333,0.14285714285714285,0.2,7,1,2,6
gpt_4_1_large,theme_environment,0.07142857142857142,0.08333333333333333,0.07692307692307691,12,1,13,11
gpt_4_1_large,theme_foreign_trade,0.0,0.0,0.0,6,0,4,6
gpt_4_1_large,theme_governments_governance,0.19607843137254902,0.25,0.2197802197802198,40,10,41,30
gpt_4_1_large,theme_health,0.06666666666666667,0.06666666666666667,0.06666666666666667,15,1,14,14
gpt_4_1_large,theme_housing,0.13333333333333333,0.15384615384615385,0.14285714285714288,13,2,13,11
gpt_4_1_large,theme_immigration,0.0,0.0,0.0,3,0,1,3
gpt_4_1_large,theme_indigenous_affairs,0.0,0.0,0.0,0,0,0,0
gpt_4_1_large,theme_international_affairs,0.05263157894736842,0.04,0.04545454545454545,25,1,18,24
gpt_4_1_large,theme_labor,0.0,0.0,0.0,7,0,6,7
gpt_4_1_large,theme_law_and_crime,0.08695652173913043,0.13333333333333333,0.10526315789473685,15,2,21,13
gpt_4_1_large,theme_macroeconomics,0.23076923076923078,0.32142857142857145,0.2686567164179105,28,9,30,19
gpt_4_1_large,theme_public_lands,0.0,0.0,0.0,1,0,1,1
gpt_4_1_large,theme_rights_liberties_minorities_discrimination,0.1,0.2,0.13333333333333333,10,2,18,8
gpt_4_1_large,theme_social_welfare,0.1,0.2,0.13333333333333333,10,2,18,8
gpt_4_1_large,theme_technology,0.0,0.0,0.0,3,0,5,3
gpt_4_1_large,theme_transportation,0.0,0.0,0.0,6,0,8,6
gpt_4_1_small,theme_agriculture,0.0,0.0,0.0,2,0,1,2
gpt_4_1_small,theme_culture_nationalism,0.0,0.0,0.0,3,0,1,3
gpt_4_1_small,theme_defense,0.0,0.0,0.0,3,0,0,3
gpt_4_1_small,theme_domestic_commerce,0.0,0.0,0.0,7,0,0,7
gpt_4_1_small,theme_education,0.0,0.0,0.0,3,0,2,3
gpt_4_1_small,theme_energy,0.0,0.0,0.0,7,0,0,7
gpt_4_1_small,theme_environment,0.0,0.0,0.0,12,0,0,12
gpt_4_1_small,theme_foreign_trade,0.0,0.0,0.0,6,0,1,6
gpt_4_1_small,theme_governments_governance,0.0,0.0,0.0,40,0,0,40
gpt_4_1_small,theme_health,0.0,0.0,0.0,15,0,1,15
gpt_4_1_small,theme_housing,0.0,0.0,0.0,13,0,0,13
gpt_4_1_small,theme_immigration,0.0,0.0,0.0,3,0,0,3
gpt_4_1_small,theme_indigenous_affairs,0.0,0.0,0.0,0,0,0,0
gpt_4_1_small,theme_international_affairs,0.0,0.0,0.0,25,0,0,25
gpt_4_1_small,theme_labor,0.0,0.0,0.0,7,0,0,7
gpt_4_1_small,theme_law_and_crime,0.0,0.0,0.0,15,0,0,15
gpt_4_1_small,theme_macroeconomics,0.0,0.0,0.0,28,0,0,28
gpt_4_1_small,theme_public_lands,0.0,0.0,0.0,1,0,0,1
gpt_4_1_small,theme_rights_liberties_minorities_discrimination,0.0,0.0,0.0,10,0,0,10
gpt_4_1_small,theme_social_welfare,0.0,0.0,0.0,10,0,0,10
gpt_4_1_small,theme_technology,0.0,0.0,0.0,3,0,2,3
gpt_4_1_small,theme_transportation,0.0,0.0,0.0,6,0,0,6
gpt_5_large,theme_agriculture,0.0,0.0,0.0,2,0,0,2
gpt_5_large,theme_culture_nationalism,0.5,0.3333333333333333,0.4,3,1,1,2
gpt_5_large,theme_defense,0.0,0.0,0.0,3,0,6,3
gpt_5_large,theme_domestic_commerce,0.0,0.0,0.0,7,0,3,7
gpt_5_large,theme_education,0.0,0.0,0.0,3,0,5,3
gpt_5_large,theme_energy,0.5,0.14285714285714285,0.22222222222222224,7,1,1,6
gpt_5_large,theme_environment,0.09090909090909091,0.08333333333333333,0.08695652173913043,12,1,10,11
gpt_5_large,theme_foreign_trade,0.0,0.0,0.0,6,0,3,6
gpt_5_large,theme_governments_governance,0.1346153846153846,0.175,0.15217391304347824,40,7,45,33
gpt_5_large,theme_health,0.0,0.0,0.0,15,0,13,15
gpt_5_large,theme_housing,0.14285714285714285,0.15384615384615385,0.14814814814814817,13,2,12,11
gpt_5_large,theme_immigration,0.3333333333333333,0.3333333333333333,0.3333333333333333,3,1,2,2
gpt_5_large,theme_indigenous_affairs,0.0,0.0,0.0,0,0,0,0
gpt_5_large,theme_international_affairs,0.16666666666666666,0.12,0.13953488372093023,25,3,15,22
gpt_5_large,theme_labor,0.0,0.0,0.0,7,0,6,7
gpt_5_large,theme_law_and_crime,0.125,0.13333333333333333,0.12903225806451615,15,2,14,13
gpt_5_large,theme_macroeconomics,0.21875,0.25,0.23333333333333334,28,7,25,21
gpt_5_large,theme_public_lands,0.0,0.0,0.0,1,0,2,1
gpt_5_large,theme_rights_liberties_minorities_discrimination,0.14285714285714285,0.2,0.16666666666666666,10,2,12,8
gpt_5_large,theme_social_welfare,0.0,0.0,0.0,10,0,9,10
gpt_5_large,theme_technology,0.0,0.0,0.0,3,0,4,3
gpt_5_large,theme_transportation,0.0,0.0,0.0,6,0,7,6
gpt_5_small,theme_agriculture,0.0,0.0,0.0,2,0,0,2
gpt_5_small,theme_culture_nationalism,0.0,0.0,0.0,3,0,13,3
gpt_5_small,theme_defense,0.0,0.0,0.0,3,0,0,3
gpt_5_small,theme_domestic_commerce,0.0,0.0,0.0,7,0,0,7
gpt_5_small,theme_education,0.0,0.0,0.0,3,0,0,3
gpt_5_small,theme_energy,0.0,0.0,0.0,7,0,0,7
gpt_5_small,theme_environment,0.0,0.0,0.0,12,0,0,12
gpt_5_small,theme_foreign_trade,0.0,0.0,0.0,6,0,0,6
gpt_5_small,theme_governments_governance,0.0,0.0,0.0,40,0,0,40
gpt_5_small,theme_health,0.0,0.0,0.0,15,0,0,15
gpt_5_small,theme_housing,0.0,0.0,0.0,13,0,0,13
gpt_5_small,theme_immigration,0.0,0.0,0.0,3,0,0,3
gpt_5_small,theme_indigenous_affairs,0.0,0.0,0.0,0,0,0,0
gpt_5_small,theme_international_affairs,0.0,0.0,0.0,25,0,0,25
gpt_5_small,theme_labor,0.0,0.0,0.0,7,0,0,7
gpt_5_small,theme_law_and_crime,0.0,0.0,0.0,15,0,0,15
gpt_5_small,theme_macroeconomics,0.0,0.0,0.0,28,0,1,28
gpt_5_small,theme_public_lands,0.0,0.0,0.0,1,0,0,1
gpt_5_small,theme_rights_liberties_minorities_discrimination,0.0,0.0,0.0,10,0,0,10
gpt_5_small,theme_social_welfare,0.0,0.0,0.0,10,0,0,10
gpt_5_small,theme_technology,0.0,0.0,0.0,3,0,0,3
gpt_5_small,theme_transportation,0.0,0.0,0.0,6,0,1,6
gpt_oss_large,theme_agriculture,0.0,0.0,0.0,2,0,0,2
gpt_oss_large,theme_culture_nationalism,0.14285714285714285,0.3333333333333333,0.2,3,1,6,2
gpt_oss_large,theme_defense,0.0,0.0,0.0,3,0,3,3
gpt_oss_large,theme_domestic_commerce,0.0,0.0,0.0,7,0,1,7
gpt_oss_large,theme_education,0.0,0.0,0.0,3,0,3,3
gpt_oss_large,theme_energy,0.25,0.14285714285714285,0.18181818181818182,7,1,3,6
gpt_oss_large,theme_environment,0.07142857142857142,0.08333333333333333,0.07692307692307691,12,1,13,11
gpt_oss_large,theme_foreign_trade,0.0,0.0,0.0,6,0,4,6
gpt_oss_large,theme_governments_governance,0.14285714285714285,0.175,0.15730337078651685,40,7,42,33
gpt_oss_large,theme_health,0.07142857142857142,0.06666666666666667,0.0689655172413793,15,1,13,14
gpt_oss_large,theme_housing,0.15384615384615385,0.15384615384615385,0.15384615384615385,13,2,11,11
gpt_oss_large,theme_immigration,0.5,0.3333333333333333,0.4,3,1,1,2
gpt_oss_large,theme_indigenous_affairs,0.0,0.0,0.0,0,0,0,0
gpt_oss_large,theme_international_affairs,0.125,0.08,0.09756097560975609,25,2,14,23
gpt_oss_large,theme_labor,0.0,0.0,0.0,7,0,6,7
gpt_oss_large,theme_law_and_crime,0.0,0.0,0.0,15,0,15,15
gpt_oss_large,theme_macroeconomics,0.21951219512195122,0.32142857142857145,0.2608695652173913,28,9,32,19
gpt_oss_large,theme_public_lands,0.0,0.0,0.0,1,0,1,1
gpt_oss_large,theme_rights_liberties_minorities_discrimination,0.08,0.2,0.11428571428571428,10,2,23,8
gpt_oss_large,theme_social_welfare,0.1,0.2,0.13333333333333333,10,2,18,8
gpt_oss_large,theme_technology,0.0,0.0,0.0,3,0,5,3
