Model,Annotator,TP,FP,FN,Support,Precision,Recall,F1
GPT-4.1,shdin,31,239,187,218,0.1148,0.1422,0.127
GPT-4.1,Jeremy,27,243,161,188,0.1,0.1436,0.1179
GPT-4.1,jdrouin,33,237,224,257,0.1222,0.1284,0.1252
GPT-4.1,BenjaminCarignan,24,246,161,185,0.0889,0.1297,0.1055
GPT-5,shdin,26,196,192,218,0.1171,0.1193,0.1182
GPT-5,Jeremy,21,201,167,188,0.0946,0.1117,0.1024
GPT-5,jdrouin,28,194,229,257,0.1261,0.1089,0.1169
GPT-5,BenjaminCarignan,21,201,164,185,0.0946,0.1135,0.1032
GPT-OSS,shdin,28,222,190,218,0.112,0.1284,0.1197
GPT-OSS,Jeremy,24,226,164,188,0.096,0.1277,0.1096
GPT-OSS,jdrouin,29,221,228,257,0.116,0.1128,0.1144
GPT-OSS,BenjaminCarignan,24,226,161,185,0.096,0.1297,0.1103
Gemma,shdin,27,231,191,218,0.1047,0.1239,0.1134
Gemma,Jeremy,24,234,164,188,0.093,0.1277,0.1076
Gemma,jdrouin,30,228,227,257,0.1163,0.1167,0.1165
Gemma,BenjaminCarignan,19,239,166,185,0.0736,0.1027,0.0858
Llama,shdin,31,265,187,218,0.1047,0.1422,0.1206
Llama,Jeremy,27,269,161,188,0.0912,0.1436,0.1116
Llama,jdrouin,33,263,224,257,0.1115,0.1284,0.1193
Llama,BenjaminCarignan,25,271,160,185,0.0845,0.1351,0.104
Nemotron,shdin,23,219,195,218,0.095,0.1055,0.1
Nemotron,Jeremy,20,222,168,188,0.0826,0.1064,0.093
Nemotron,jdrouin,25,217,232,257,0.1033,0.0973,0.1002
Nemotron,BenjaminCarignan,19,223,166,185,0.0785,0.1027,0.089
Manual,shdin,24,174,194,218,0.1212,0.1101,0.1154
Manual,Jeremy,18,180,170,188,0.0909,0.0957,0.0933
Manual,jdrouin,23,175,234,257,0.1162,0.0895,0.1011
Manual,BenjaminCarignan,15,183,170,185,0.0758,0.0811,0.0783
