session_name,session_type,model_id,llm,category,subcategory,prefix,label_column,pipeline_name
large_20260122_171318,large,gemma_political_parties_large_BQ/microsoft_mdeberta-v3-base/model,gemma,political_parties,BQ,microsoft_mdeberta_v3_base,microsoft_mdeberta_v3_base_label,gemma_large
large_20260122_171318,large,gemma_political_parties_large_CAQ/microsoft_mdeberta-v3-base/model,gemma,political_parties,CAQ,microsoft_mdeberta_v3_base_2,microsoft_mdeberta_v3_base_2_label,gemma_large
large_20260122_171318,large,gemma_political_parties_large_CPC/microsoft_mdeberta-v3-base/model,gemma,political_parties,CPC,microsoft_mdeberta_v3_base_3,microsoft_mdeberta_v3_base_3_label,gemma_large
large_20260122_171318,large,gemma_political_parties_large_GPC/microsoft_mdeberta-v3-base/model,gemma,political_parties,GPC,microsoft_mdeberta_v3_base_4,microsoft_mdeberta_v3_base_4_label,gemma_large
large_20260122_171318,large,gemma_political_parties_large_LPC/microsoft_mdeberta-v3-base/model,gemma,political_parties,LPC,microsoft_mdeberta_v3_base_5,microsoft_mdeberta_v3_base_5_label,gemma_large
large_20260122_171318,large,gemma_political_parties_large_NDP/microsoft_mdeberta-v3-base/model,gemma,political_parties,NDP,microsoft_mdeberta_v3_base_6,microsoft_mdeberta_v3_base_6_label,gemma_large
large_20260122_171318,large,gemma_political_parties_large_PCQ/microsoft_mdeberta-v3-base/model,gemma,political_parties,PCQ,microsoft_mdeberta_v3_base_7,microsoft_mdeberta_v3_base_7_label,gemma_large
large_20260122_171318,large,gemma_political_parties_large_PLQ/microsoft_mdeberta-v3-base/model,gemma,political_parties,PLQ,microsoft_mdeberta_v3_base_8,microsoft_mdeberta_v3_base_8_label,gemma_large
large_20260122_171318,large,gemma_political_parties_large_PQ/microsoft_mdeberta-v3-base/model,gemma,political_parties,PQ,microsoft_mdeberta_v3_base_9,microsoft_mdeberta_v3_base_9_label,gemma_large
large_20260122_171318,large,gemma_political_parties_large_QS/microsoft_mdeberta-v3-base/model,gemma,political_parties,QS,microsoft_mdeberta_v3_base_10,microsoft_mdeberta_v3_base_10_label,gemma_large
large_20260122_171318,large,gemma_sentiment_large/microsoft_mdeberta-v3-base/model,gemma,sentiment,,microsoft_mdeberta_v3_base_11,microsoft_mdeberta_v3_base_11_label,gemma_large
large_20260122_171318,large,gemma_specific_themes_large/microsoft_mdeberta-v3-base/model,gemma,specific_themes,,microsoft_mdeberta_v3_base_12,microsoft_mdeberta_v3_base_12_label,gemma_large
large_20260122_171318,large,gemma_themes_large_agriculture/microsoft_mdeberta-v3-base/model,gemma,themes,agriculture,microsoft_mdeberta_v3_base_13,microsoft_mdeberta_v3_base_13_label,gemma_large
large_20260122_171318,large,gemma_themes_large_culture_nationalism/microsoft_mdeberta-v3-base/model,gemma,themes,culture_nationalism,microsoft_mdeberta_v3_base_14,microsoft_mdeberta_v3_base_14_label,gemma_large
large_20260122_171318,large,gemma_themes_large_defense/microsoft_mdeberta-v3-base/model,gemma,themes,defense,microsoft_mdeberta_v3_base_15,microsoft_mdeberta_v3_base_15_label,gemma_large
large_20260122_171318,large,gemma_themes_large_domestic_commerce/microsoft_mdeberta-v3-base/model,gemma,themes,domestic_commerce,microsoft_mdeberta_v3_base_16,microsoft_mdeberta_v3_base_16_label,gemma_large
large_20260122_171318,large,gemma_themes_large_education/microsoft_mdeberta-v3-base/model,gemma,themes,education,microsoft_mdeberta_v3_base_17,microsoft_mdeberta_v3_base_17_label,gemma_large
large_20260122_171318,large,gemma_themes_large_energy/microsoft_mdeberta-v3-base/model,gemma,themes,energy,microsoft_mdeberta_v3_base_18,microsoft_mdeberta_v3_base_18_label,gemma_large
large_20260122_171318,large,gemma_themes_large_environment/microsoft_mdeberta-v3-base/model,gemma,themes,environment,microsoft_mdeberta_v3_base_19,microsoft_mdeberta_v3_base_19_label,gemma_large
large_20260122_171318,large,gemma_themes_large_foreign_trade/microsoft_mdeberta-v3-base/model,gemma,themes,foreign_trade,microsoft_mdeberta_v3_base_20,microsoft_mdeberta_v3_base_20_label,gemma_large
large_20260122_171318,large,gemma_themes_large_governments_governance/microsoft_mdeberta-v3-base/model,gemma,themes,governments_governance,microsoft_mdeberta_v3_base_21,microsoft_mdeberta_v3_base_21_label,gemma_large
