model,display_name,short_name,task,task_name,f1_macro,f1_micro,accuracy,best_epoch,num_samples_train,num_samples_val,total_training_time_hours
gemma,Gemma 3 (27B),Gemma3,political_parties,political_parties_long,0.32461121690899647,0.39752431476569405,0.6528409829671044,25,30760,7691,9.698481502466732
gemma,Gemma 3 (27B),Gemma3,sentiment,sentiment_long,0.4793014667232457,0.6880779012946313,0.6876220226474034,6,30731,7683,9.698481502466732
gemma,Gemma 3 (27B),Gemma3,specific_themes,specific_themes_long,0.37253254173596706,0.23786587625046313,0.7350149525419322,9,30760,7691,9.698481502466732
gemma,Gemma 3 (27B),Gemma3,themes,themes_long,0.3887390848858766,0.5488089528377298,0.2235079963593811,18,30760,7691,9.698481502466732
nemotron,Nemotron (49B),Nemotron,political_parties,political_parties_long,0.40579693111899323,0.3541039965620971,0.7268853855986366,13,46937,11735,15.116567772428194
nemotron,Nemotron (49B),Nemotron,sentiment,sentiment_long,0.5732260145338373,0.6311350963161657,0.6305950951809295,5,46645,11662,15.116567772428194
nemotron,Nemotron (49B),Nemotron,specific_themes,specific_themes_long,0.2792857142857143,0.2520231213872832,0.9487856838517256,21,46937,11735,15.116567772428194
nemotron,Nemotron (49B),Nemotron,themes,themes_long,0.42391024103902647,0.48215421303656597,0.14588836812952705,13,46937,11735,15.116567772428194
mixtral,Mixtral (8×22B),Mixtral,political_parties,political_parties_long,0.0738379248224038,0.42117376294591485,0.7490573397477571,16,30760,7691,9.876206003030141
mixtral,Mixtral (8×22B),Mixtral,sentiment,sentiment_long,0.35213477967385504,0.7694523015918628,0.7743461690103824,6,30436,7609,9.876206003030141
mixtral,Mixtral (8×22B),Mixtral,specific_themes,specific_themes_long,0.10664953004777723,0.259763851044505,0.895982316993889,6,30760,7691,9.876206003030141
mixtral,Mixtral (8×22B),Mixtral,themes,themes_long,0.11859133124120246,0.5066201877503593,0.1716291769600832,15,30760,7691,9.876206003030141
gpt_oss,GPT-OSS (120B),GPT-OSS,political_parties,political_parties_long,0.6222144126308534,0.8706860706860707,0.9660642309192563,24,30760,7691,20.585836040841208
gpt_oss,GPT-OSS (120B),GPT-OSS,sentiment,sentiment_long,0.7527862407931218,0.7748453183013743,0.7752633632461958,5,30755,7689,20.585836040841208
gpt_oss,GPT-OSS (120B),GPT-OSS,specific_themes,specific_themes_long,0.4953636951129376,0.6005917159763313,0.9652840982967105,21,30760,7691,20.585836040841208
gpt_oss,GPT-OSS (120B),GPT-OSS,themes,themes_long,0.6193441405532006,0.7193077339102217,0.5168378624366142,24,30760,7691,20.585836040841208
gpt5,GPT-5,GPT-5,political_parties,political_parties_long,0.6272532363877258,0.9340369393139841,0.9843953185955787,23,30760,7690,20.75328007777532
gpt5,GPT-5,GPT-5,sentiment,sentiment_long,0.7740795824872352,0.7887035010753493,0.7881664499349805,8,30759,7690,20.75328007777532
gpt5,GPT-5,GPT-5,specific_themes,specific_themes_long,0.717600307652865,0.6845637583892618,0.9756827048114435,20,30760,7690,20.75328007777532
gpt5,GPT-5,GPT-5,themes,themes_long,0.6403714912490852,0.721776000551553,0.39479843953185956,21,30760,7690,20.75328007777532
